Cueanexo,id_localidad,Total de hogares,Hogares con población de 3 a 17,Poblacion de 3 a 17
20071302,2102001,"0,094427","0,042259","0,036924"
20071303,2102001,"0,104875","0,058451","0,054659"
20071400,2114001,"0,092934","0,0625","0,060721"
20071500,2102001,"0,089945","0,055163","0,055751"
20071600,2114001,"0,092934","0,0625","0,060721"
20071700,2114001,"0,095434","0,043164","0,042852"
20071800,2114001,"0,093254","0,045608","0,049175"
20072000,2103001,"0,107257","0,087534","0,092851"
20072100,2102001,"0,098072","0,066508","0,060353"
20072300,2110001,"0,099033","0,06032","0,062621"
20072400,2112001,"0,092391","0,057402","0,059251"
20072600,2112001,"0,07398","0,042417","0,040525"
20072700,2115001,"0,078704","0,046046","0,047594"
20072800,2115001,"0,084389","0,055068","0,053189"
20072801,2115001,"0,084389","0,055068","0,053189"
20072802,2115001,"0,084389","0,055068","0,053189"
20072900,2114001,"0,079718","0,043632","0,03996"
20073000,2114001,"0,084119","0,060208","0,060744"
20073100,2114001,"0,084119","0,060208","0,060744"
20073300,2114001,"0,074903","0,055016","0,055768"
